exchange,market_type,asset,symbol,status,reachable,market_exists,coverage_pct,price,mark_price,index_price,funding,open_interest,trades,order_book,last_price,funding_rate_raw,open_interest_base_raw,open_interest_usd,taker_buy_sell_ratio,book_imbalance_0_5pct,spread_bps
kraken,perpetual,BTC,PF_XBTUSD,OK,True,True,100.0,True,True,True,True,True,True,True,64189.0,-0.10217415729,1944.5396,124818279.9219869,0.5372932304294543,0.026719091636603628,0.15578964885715166
kraken,perpetual,SOL,PF_SOLUSD,OK,True,True,100.0,True,True,True,True,True,True,True,77.93,-6.2563899666693e-05,245269.34,19114291.68272294,0.5638990216630759,-0.05700881675597928,1.2831725290758222
kraken,perpetual,DOGE,PF_DOGEUSD,OK,True,True,100.0,True,True,True,True,True,True,True,0.074243,1.481610899112e-06,41968358.0,3116035.1945358817,0.9482239440363976,-0.058033692835756046,2.5590173159722647
bitget,perpetual,BTC,BTCUSDT,OK,True,True,100.0,True,True,True,True,True,True,True,64205.9,-2.2e-05,34193.6828,2195535340.16864,0.018566713316588376,0.39099727143252166,0.015574189207483212
bitget,perpetual,SOL,SOLUSDT,OK,True,True,100.0,True,True,True,True,True,True,True,77.924,7e-05,4219796.6,328848749.038,20.719733802719766,-0.014135309391623016,0.12832028743805654
bitget,perpetual,DOGE,DOGEUSDT,OK,True,True,100.0,True,True,True,True,True,True,True,0.07423,0.0001,1076725611.0,79925342.10453,0.21404874261894172,0.1587290908710311,1.3471642193178126
okx,perpetual,BTC,BTC-USDT-SWAP,OK,True,True,85.71,True,True,False,True,True,True,True,64208.6,-2.01200032837e-05,30866.862300000146,1981951968.2243195,4.176038138981481,0.004260416441770672,0.01557399516560527
okx,perpetual,SOL,SOL-USDT-SWAP,OK,True,True,85.71,True,True,False,True,True,True,True,77.91,-5.27289591403e-05,3101251.280000001,241680512.2504001,2.610985481397354,0.11341229678481794,1.2835322808356957
okx,perpetual,DOGE,DOGE-USDT-SWAP,OK,True,True,85.71,True,True,False,True,True,True,True,0.07424,9.2972044533e-05,934063399.9999996,69354207.44999997,5.898972468538829,0.056938824363466964,1.3469827586201673
coinbase,spot,BTC,BTC-USD,PARZIALE,True,True,42.86,True,False,False,False,False,True,True,64184.1,,,,2.774627236981644,-0.15353674136147047,0.00155801826340749
coinbase,spot,SOL,SOL-USD,PARZIALE,True,True,42.86,True,False,False,False,False,True,True,77.89,,,,0.16372907252651778,0.09404011179186822,1.2838618564649011
coinbase,spot,DOGE,DOGE-USD,PARZIALE,True,True,42.86,True,False,False,False,False,True,True,0.07422,,,,0.6265104083732881,0.2111578448801174,1.347345728915387
kucoin,perpetual-control,BTC,XBTUSDTM,OK,True,True,100.0,True,True,True,True,True,True,True,64232.3,-3.4e-05,29284.254,1881034521.9471002,0.23728637905887345,0.015578078017670687,0.015568164038404294
kucoin,perpetual-control,SOL,SOLUSDTM,OK,True,True,100.0,True,True,True,True,True,True,True,77.904,-8e-06,4195182.600000001,326897018.5572,0.20823769093806963,0.01811041845176752,0.12833346166740778
kucoin,perpetual-control,DOGE,DOGEUSDTM,OK,True,True,100.0,True,True,True,True,True,True,True,0.07424,6.1e-05,1289124500.0,95704602.88,2.2371288733289467,-0.09634942917212135,1.3469827586201673
