asset,sequence_type,first_pct,second_pct,current_price,first_price_now,second_price_now,total_valid,first_hits,first_rate,second_hits_after_first,second_rate_after_first,real_move_from_first_to_second_pct,avg_days_to_first,avg_days_to_second
BTC-USD,bounce,-5,5,63168.8203125,60010.379296875,66327.26132812501,40,17,42.5,4,23.52941176470588,10.526315789473696,13.529411764705882,15.0
BTC-USD,bounce,-5,10,63168.8203125,60010.379296875,69485.70234375,40,17,42.5,3,17.647058823529413,15.789473684210531,13.529411764705882,12.0
BTC-USD,bounce,-5,15,63168.8203125,60010.379296875,72644.143359375,40,17,42.5,3,17.647058823529413,21.052631578947366,13.529411764705882,12.0
BTC-USD,bounce,-5,20,63168.8203125,60010.379296875,75802.58437499999,40,17,42.5,2,11.76470588235294,26.315789473684205,13.529411764705882,10.5
BTC-USD,bounce,-8,5,63168.8203125,58115.3146875,66327.26132812501,40,13,32.5,3,23.076923076923077,14.130434782608692,15.153846153846153,16.0
BTC-USD,bounce,-8,10,63168.8203125,58115.3146875,69485.70234375,40,13,32.5,2,15.384615384615385,19.565217391304344,15.153846153846153,9.5
BTC-USD,bounce,-8,15,63168.8203125,58115.3146875,72644.143359375,40,13,32.5,2,15.384615384615385,24.99999999999998,15.153846153846153,9.5
BTC-USD,bounce,-8,20,63168.8203125,58115.3146875,75802.58437499999,40,13,32.5,2,15.384615384615385,30.43478260869563,15.153846153846153,10.5
BTC-USD,bounce,-10,5,63168.8203125,56851.938281250004,66327.26132812501,40,9,22.5,1,11.11111111111111,16.666666666666675,17.22222222222222,30.0
BTC-USD,bounce,-10,10,63168.8203125,56851.938281250004,69485.70234375,40,9,22.5,0,0.0,22.222222222222232,17.22222222222222,
BTC-USD,bounce,-10,15,63168.8203125,56851.938281250004,72644.143359375,40,9,22.5,0,0.0,27.777777777777768,17.22222222222222,
BTC-USD,bounce,-10,20,63168.8203125,56851.938281250004,75802.58437499999,40,9,22.5,0,0.0,33.33333333333333,17.22222222222222,
BTC-USD,bounce,-15,5,63168.8203125,53693.497265624996,66327.26132812501,40,5,12.5,0,0.0,23.529411764705888,16.2,
BTC-USD,bounce,-15,10,63168.8203125,53693.497265624996,69485.70234375,40,5,12.5,0,0.0,29.41176470588236,16.2,
BTC-USD,bounce,-15,15,63168.8203125,53693.497265624996,72644.143359375,40,5,12.5,0,0.0,35.29411764705881,16.2,
BTC-USD,bounce,-15,20,63168.8203125,53693.497265624996,75802.58437499999,40,5,12.5,0,0.0,41.176470588235304,16.2,
BTC-USD,dump,5,0,63168.8203125,66327.26132812501,63168.8203125,40,36,90.0,18,50.0,-4.761904761904767,4.638888888888889,13.666666666666666
BTC-USD,dump,5,-5,63168.8203125,66327.26132812501,60010.379296875,40,36,90.0,11,30.555555555555557,-9.523809523809534,4.638888888888889,16.636363636363637
BTC-USD,dump,5,-8,63168.8203125,66327.26132812501,58115.3146875,40,36,90.0,9,25.0,-12.380952380952381,4.638888888888889,17.22222222222222
BTC-USD,dump,5,-10,63168.8203125,66327.26132812501,56851.938281250004,40,36,90.0,6,16.666666666666664,-14.28571428571429,4.638888888888889,21.666666666666668
BTC-USD,dump,5,-15,63168.8203125,66327.26132812501,53693.497265624996,40,36,90.0,3,8.333333333333332,-19.047619047619058,4.638888888888889,21.0
BTC-USD,dump,10,0,63168.8203125,69485.70234375,63168.8203125,40,25,62.5,6,24.0,-9.090909090909093,6.04,14.5
BTC-USD,dump,10,-5,63168.8203125,69485.70234375,60010.379296875,40,25,62.5,4,16.0,-13.636363636363647,6.04,15.25
BTC-USD,dump,10,-8,63168.8203125,69485.70234375,58115.3146875,40,25,62.5,3,12.0,-16.36363636363637,6.04,16.0
BTC-USD,dump,10,-10,63168.8203125,69485.70234375,56851.938281250004,40,25,62.5,2,8.0,-18.181818181818187,6.04,22.0
BTC-USD,dump,10,-15,63168.8203125,69485.70234375,53693.497265624996,40,25,62.5,1,4.0,-22.72727272727274,6.04,24.0
BTC-USD,dump,15,0,63168.8203125,72644.143359375,63168.8203125,40,22,55.00000000000001,4,18.181818181818183,-13.043478260869556,9.5,17.0
BTC-USD,dump,15,-5,63168.8203125,72644.143359375,60010.379296875,40,22,55.00000000000001,2,9.090909090909092,-17.391304347826086,9.5,24.0
BTC-USD,dump,15,-8,63168.8203125,72644.143359375,58115.3146875,40,22,55.00000000000001,1,4.545454545454546,-19.999999999999996,9.5,21.0
BTC-USD,dump,15,-10,63168.8203125,72644.143359375,56851.938281250004,40,22,55.00000000000001,1,4.545454545454546,-21.739130434782606,9.5,21.0
BTC-USD,dump,15,-15,63168.8203125,72644.143359375,53693.497265624996,40,22,55.00000000000001,0,0.0,-26.086956521739125,9.5,
BTC-USD,dump,20,0,63168.8203125,75802.58437499999,63168.8203125,40,17,42.5,1,5.88235294117647,-16.666666666666664,10.823529411764707,16.0
BTC-USD,dump,20,-5,63168.8203125,75802.58437499999,60010.379296875,40,17,42.5,1,5.88235294117647,-20.833333333333336,10.823529411764707,28.0
BTC-USD,dump,20,-8,63168.8203125,75802.58437499999,58115.3146875,40,17,42.5,0,0.0,-23.33333333333333,10.823529411764707,
BTC-USD,dump,20,-10,63168.8203125,75802.58437499999,56851.938281250004,40,17,42.5,0,0.0,-25.0,10.823529411764707,
BTC-USD,dump,20,-15,63168.8203125,75802.58437499999,53693.497265624996,40,17,42.5,0,0.0,-29.166666666666664,10.823529411764707,
SOL-USD,bounce,-5,5,78.08999633789062,74.1854965209961,81.99449615478515,40,27,67.5,5,18.51851851851852,10.526315789473696,8.037037037037036,13.4
SOL-USD,bounce,-5,10,78.08999633789062,74.1854965209961,85.8989959716797,40,27,67.5,3,11.11111111111111,15.789473684210531,8.037037037037036,10.0
SOL-USD,bounce,-5,15,78.08999633789062,74.1854965209961,89.80349578857421,40,27,67.5,1,3.7037037037037033,21.052631578947366,8.037037037037036,8.0
SOL-USD,bounce,-5,20,78.08999633789062,74.1854965209961,93.70799560546875,40,27,67.5,1,3.7037037037037033,26.315789473684205,8.037037037037036,10.0
SOL-USD,bounce,-8,5,78.08999633789062,71.84279663085938,81.99449615478515,40,22,55.00000000000001,3,13.636363636363635,14.130434782608692,10.454545454545455,21.0
SOL-USD,bounce,-8,10,78.08999633789062,71.84279663085938,85.8989959716797,40,22,55.00000000000001,2,9.090909090909092,19.565217391304344,10.454545454545455,16.5
SOL-USD,bounce,-8,15,78.08999633789062,71.84279663085938,89.80349578857421,40,22,55.00000000000001,0,0.0,24.99999999999998,10.454545454545455,
SOL-USD,bounce,-8,20,78.08999633789062,71.84279663085938,93.70799560546875,40,22,55.00000000000001,0,0.0,30.43478260869563,10.454545454545455,
SOL-USD,bounce,-10,5,78.08999633789062,70.28099670410157,81.99449615478515,40,21,52.5,2,9.523809523809524,16.666666666666675,11.523809523809524,16.5
SOL-USD,bounce,-10,10,78.08999633789062,70.28099670410157,85.8989959716797,40,21,52.5,2,9.523809523809524,22.222222222222232,11.523809523809524,16.5
SOL-USD,bounce,-10,15,78.08999633789062,70.28099670410157,89.80349578857421,40,21,52.5,0,0.0,27.777777777777768,11.523809523809524,
SOL-USD,bounce,-10,20,78.08999633789062,70.28099670410157,93.70799560546875,40,21,52.5,0,0.0,33.33333333333333,11.523809523809524,
SOL-USD,bounce,-15,5,78.08999633789062,66.37649688720703,81.99449615478515,40,14,35.0,1,7.142857142857142,23.529411764705888,12.357142857142858,15.0
SOL-USD,bounce,-15,10,78.08999633789062,66.37649688720703,85.8989959716797,40,14,35.0,1,7.142857142857142,29.41176470588236,12.357142857142858,15.0
SOL-USD,bounce,-15,15,78.08999633789062,66.37649688720703,89.80349578857421,40,14,35.0,0,0.0,35.29411764705881,12.357142857142858,
SOL-USD,bounce,-15,20,78.08999633789062,66.37649688720703,93.70799560546875,40,14,35.0,0,0.0,41.176470588235304,12.357142857142858,
SOL-USD,dump,5,0,78.08999633789062,81.99449615478515,78.08999633789062,40,25,62.5,13,52.0,-4.761904761904767,3.48,11.0
SOL-USD,dump,5,-5,78.08999633789062,81.99449615478515,74.1854965209961,40,25,62.5,11,44.0,-9.523809523809534,3.48,13.454545454545455
SOL-USD,dump,5,-8,78.08999633789062,81.99449615478515,71.84279663085938,40,25,62.5,9,36.0,-12.380952380952381,3.48,15.0
