forecast_date,created_at_utc,asset,ticker,source,verdict,similarity,tracking,phase,risk,start_price,first_confirmation,second_confirmation,soft_invalidation,strong_invalidation,horizon_days,target_date,btc_return_text,projected_base,projected_min,projected_max,checked,actual_price,error_pct,inside_projected_band,last_candle_date,day_from_bottom,sol_bottom_date,btc_equivalent_date,btc_bottom_date,program_start_date,sol_bottom_price,btc_bottom_price
2026-07-08,2026-07-08 23:37:05 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.94,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.44999694824219,105.03,114.49,73.58,62.19,7,2026-07-15,"-1,16%",76.55,76.32,78.02,0.0,,,,2026-07-08,32.0,2026-06-06,2022-12-23,2022-11-21,2026-07-03,62.18980407714844,15787.2841796875
2026-07-08,2026-07-08 23:37:05 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.94,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.44999694824219,105.03,114.49,73.58,62.19,14,2026-07-22,"+0,92%",78.16,76.3,78.16,0.0,,,,2026-07-08,32.0,2026-06-06,2022-12-23,2022-11-21,2026-07-03,62.18980407714844,15787.2841796875
2026-07-08,2026-07-08 23:37:05 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.94,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.44999694824219,105.03,114.49,73.58,62.19,30,2026-08-07,"+35,27%",104.76,76.3,105.03,0.0,,,,2026-07-08,32.0,2026-06-06,2022-12-23,2022-11-21,2026-07-03,62.18980407714844,15787.2841796875
2026-07-08,2026-07-08 23:37:05 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.94,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.44999694824219,105.03,114.49,73.58,62.19,60,2026-09-06,"+45,48%",112.67,76.3,114.49,0.0,,,,2026-07-08,32.0,2026-06-06,2022-12-23,2022-11-21,2026-07-03,62.18980407714844,15787.2841796875
2026-07-08,2026-07-08 23:37:05 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.94,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.44999694824219,105.03,114.49,73.58,62.19,90,2026-10-06,"+68,69%",130.65,76.3,130.65,0.0,,,,2026-07-08,32.0,2026-06-06,2022-12-23,2022-11-21,2026-07-03,62.18980407714844,15787.2841796875
2026-07-08,2026-07-08 23:37:05 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.94,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.44999694824219,105.03,114.49,73.58,62.19,120,2026-11-05,"+65,61%",128.27,76.3,140.57,0.0,,,,2026-07-08,32.0,2026-06-06,2022-12-23,2022-11-21,2026-07-03,62.18980407714844,15787.2841796875
2026-07-09,2026-07-09 01:05:51 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.91,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.7699966430664,105.43,114.93,73.86,62.19,7,2026-07-16,"-1,16%",76.85,76.62,78.32,0.0,,,,2026-07-09,32.0,2026-06-07,2022-12-23,2022-11-21,2026-07-03,66.31063079833984,15787.2841796875
2026-07-09,2026-07-09 01:05:51 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.91,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.7699966430664,105.43,114.93,73.86,62.19,14,2026-07-23,"+0,92%",78.47,76.6,78.47,0.0,,,,2026-07-09,32.0,2026-06-07,2022-12-23,2022-11-21,2026-07-03,66.31063079833984,15787.2841796875
2026-07-09,2026-07-09 01:05:51 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.91,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.7699966430664,105.43,114.93,73.86,62.19,30,2026-08-08,"+35,27%",105.17,76.6,105.43,0.0,,,,2026-07-09,32.0,2026-06-07,2022-12-23,2022-11-21,2026-07-03,66.31063079833984,15787.2841796875
2026-07-09,2026-07-09 01:05:51 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.91,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.7699966430664,105.43,114.93,73.86,62.19,60,2026-09-07,"+45,48%",113.11,76.6,114.93,0.0,,,,2026-07-09,32.0,2026-06-07,2022-12-23,2022-11-21,2026-07-03,66.31063079833984,15787.2841796875
2026-07-09,2026-07-09 01:05:51 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.91,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.7699966430664,105.43,114.93,73.86,62.19,90,2026-10-07,"+68,69%",131.15,76.6,131.15,0.0,,,,2026-07-09,32.0,2026-06-07,2022-12-23,2022-11-21,2026-07-03,66.31063079833984,15787.2841796875
2026-07-09,2026-07-09 01:05:51 UTC,SOL,SOL-USD,BTC_2022_vs_SOL_2026,PARZIALMENTE SI,73.91,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,77.7699966430664,105.43,114.93,73.86,62.19,120,2026-11-06,"+65,61%",128.76,76.6,141.11,0.0,,,,2026-07-09,32.0,2026-06-07,2022-12-23,2022-11-21,2026-07-03,66.31063079833984,15787.2841796875
