run_mode,run_id,generated_at_utc,code_version,official_daily,forecast_id,coingecko_id,forecast_date,anchor_price,anchor_date,status,input_manifest_id,N,cone_width,distinct_analogue_assets,drawdown,horizon,implicit_price,max_gain,negative_close_pct,percentile_return,positive_close_pct,quality,similarity_mean,similarity_median
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,bitcoin,2026-09-25,84151.0234375,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,14.95708212543404,35,"{""p10"":-13.17383361918107,""p25"":-6.21573144495931,""p50"":-1.155133454067342,""p75"":0.0,""p90"":0.0}",7,"{""p10"":74247.17390991906,""p25"":83184.98823424795,""p50"":89407.93700509872,""p75"":95771.52591918809,""p90"":108421.63654871957}","{""p10"":0.7958715352907466,""p25"":4.661434888567517,""p50"":10.798203125646843,""p75"":19.657079760489697,""p90"":31.64476024898997}",27.500000000000004,"{""p10"":-11.769137347374812,""p25"":-1.1479779612775853,""p50"":6.24699897025388,""p75"":13.809104164156455,""p90"":28.841732542023856}",72.5,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":14.95708212543404,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}",86.69751169213112,86.52421631736871
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,bitcoin,2026-09-25,84151.0234375,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,24.302783316544026,35,"{""p10"":-17.881880249523352,""p25"":-9.095820661959594,""p50"":-1.8042150328418105,""p75"":0.0,""p90"":0.0}",14,"{""p10"":71567.14255750887,""p25"":80710.88024965007,""p50"":88421.84189034115,""p75"":101161.92113431987,""p90"":121090.57493031377}","{""p10"":1.9401553085986238,""p25"":7.88233913056261,""p50"":14.597294877910471,""p75"":35.82846505875191,""p90"":50.5880722602809}",35.0,"{""p10"":-14.95392493869945,""p25"":-4.088058644236178,""p50"":5.0751830202197645,""p75"":20.21472467230785,""p90"":43.89673468469369}",65.0,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":24.302783316544026,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}",86.69751169213112,86.52421631736871
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,bitcoin,2026-09-25,84151.0234375,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,28.057887719444814,35,"{""p10"":-24.185433618666046,""p25"":-16.75697916799347,""p50"":-2.435071417576057,""p75"":-0.14191879387585593,""p90"":0.0}",30,"{""p10"":67498.73222396671,""p25"":82046.84632627809,""p50"":93723.69004565646,""p75"":105657.84599713553,""p90"":138766.6072692308}","{""p10"":5.056002695033173,""p25"":12.468937143194836,""p50"":26.99719091999151,""p75"":51.23167161590256,""p90"":81.17592242808266}",27.500000000000004,"{""p10"":-19.788578359835576,""p25"":-2.50047714842673,""p50"":11.375579543921045,""p75"":25.557410571018085,""p90"":64.9018652426663}",72.5,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":28.057887719444814,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}",86.69751169213112,86.52421631736871
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,bitcoin,2026-09-25,84151.0234375,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,47.63577248786903,35,"{""p10"":-28.34692878780909,""p25"":-18.07310387220508,""p50"":-8.10997421960858,""p75"":-1.8353745732151787,""p90"":0.0}",60,"{""p10"":74886.69775800186,""p25"":79004.31267468103,""p50"":91149.48853776959,""p75"":119090.30274558188,""p90"":194009.57684533138}","{""p10"":5.056002695033173,""p25"":22.98245010721272,""p50"":38.12880739883383,""p75"":64.0126961273066,""p90"":166.24539752449306}",42.5,"{""p10"":-11.009165784393426,""p25"":-6.11604060483174,""p50"":8.316553755840472,""p75"":41.519731883037295,""p90"":130.54927785806987}",57.49999999999999,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":47.63577248786903,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}",86.69751169213112,86.52421631736871
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,ethereum,2026-09-25,2679.25,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,16.374164917090763,27,"{""p10"":-11.659747769284165,""p25"":-7.573071518092269,""p50"":-2.7692580201473636,""p75"":0.0,""p90"":0.0}",7,"{""p10"":2438.178803546556,""p25"":2609.605249366752,""p50"":2813.0982704107814,""p75"":3048.3100629079067,""p90"":3451.9921191321746}","{""p10"":0.0,""p25"":2.1723198921685674,""p50"":8.233546323590557,""p75"":20.636014583900216,""p90"":32.08920783468587}",35.0,"{""p10"":-8.997711913910384,""p25"":-2.599412172557536,""p50"":4.995736508753623,""p75"":13.774752744533226,""p90"":28.841732542023856}",65.0,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":16.374164917090763,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}",85.30468231853179,84.90877892041141
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,ethereum,2026-09-25,2679.25,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,31.348083421675057,27,"{""p10"":-13.601479116225143,""p25"":-10.625122572456702,""p50"":-4.60231850223613,""p75"":0.0,""p90"":0.0}",14,"{""p10"":2378.4320718504673,""p25"":2620.476943263334,""p50"":2872.9149710957845,""p75"":3460.3704683385627,""p90"":3993.535917979112}","{""p10"":1.1919380804508963,""p25"":5.921686389374859,""p50"":12.764425050527173,""p75"":40.60983959860981,""p90"":52.781690030673985}",30.0,"{""p10"":-11.227691635701511,""p25"":-2.19363839644178,""p50"":7.228327744547336,""p75"":29.154445025233276,""p90"":49.05424719526405}",70.0,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":31.348083421675057,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}",85.30468231853179,84.90877892041141
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,ethereum,2026-09-25,2679.25,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,30.59460687294019,27,"{""p10"":-26.79135139578484,""p25"":-18.612631100463037,""p50"":-6.2243607110792745,""p75"":-0.585940072328292,""p90"":0.0}",30,"{""p10"":2264.679665568501,""p25"":2460.0647483212797,""p50"":2948.547566140213,""p75"":3279.7707529645295,""p90"":4201.631182733049}","{""p10"":4.114759917771352,""p25"":12.11039500820088,""p50"":23.306977267537945,""p75"":50.89679362232141,""p90"":75.29705888398189}",35.0,"{""p10"":-15.473372564392982,""p25"":-8.180843582298053,""p50"":10.05122949109687,""p75"":22.413763290642137,""p90"":56.82116945910419}",65.0,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":30.59460687294019,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}",85.30468231853179,84.90877892041141
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,ethereum,2026-09-25,2679.25,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,68.71687095295601,27,"{""p10"":-29.15640844843359,""p25"":-20.189780092235242,""p50"":-10.635134639065003,""p75"":-2.314485247586895,""p90"":0.0}",60,"{""p10"":2170.0992464483566,""p25"":2483.6074442556715,""p50"":2870.838144277014,""p75"":4324.704209262745,""p90"":6176.9915270123365}","{""p10"":5.043455769090557,""p25"":22.824861048990094,""p50"":34.58950863479212,""p75"":70.42713711102147,""p90"":169.4028511539517}",47.5,"{""p10"":-19.003480584180018,""p25"":-7.302138872607214,""p50"":7.150812513838356,""p75"":61.4147320803488,""p90"":130.54927785806987}",52.5,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":68.71687095295601,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}",85.30468231853179,84.90877892041141
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:binancecoin:2026-09-25:234dca5b0f99899dc0a16cb90b151908e92c44e815febb9d60745a3bf95c50a3,binancecoin,2026-09-25,773.47998046875,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,15.810196938310858,25,"{""p10"":-19.778429676549933,""p25"":-14.176542210957688,""p50"":-5.081953848095949,""p75"":-1.1633701788560074,""p90"":0.0}",7,"{""p10"":664.3618153396856,""p25"":710.9447136661859,""p50"":773.5432705936039,""p75"":833.2334218567036,""p90"":1062.957384904968}","{""p10"":0.0,""p25"":0.9481159259530247,""p50"":7.250545214688831,""p75"":13.016609817717761,""p90"":37.42532602599317}",50.0,"{""p10"":-14.107432368570919,""p25"":-8.084923770705235,""p50"":0.008182516219173985,""p75"":7.725273167605623,""p90"":37.42532602599317}",50.0,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":15.810196938310858,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":25,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":88.60096485104427}",88.60096485104427,88.19311935889799
OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True,lab:OFFICIAL_DAILY:binancecoin:2026-09-25:234dca5b0f99899dc0a16cb90b151908e92c44e815febb9d60745a3bf95c50a3,binancecoin,2026-09-25,773.47998046875,2026-09-25,VALID,sha256:2eae2514610ede1a8b1265b1967ca84ff4fbe7219e35bd5db584d459c9652507,40,36.93410639838858,25,"{""p10"":-23.694933337606653,""p25"":-17.200467997050495,""p50"":-7.109268084409537,""p75"":-3.2308199832601665,""p90"":0.0}",14,"{""p10"":609.6230526159878,""p25"":697.8690132130912,""p50"":788.8376973437249,""p75"":983.5469321696545,""p90"":1153.192119542233}","{""p10"":0.2132324939611797,""p25"":1.9996305055211994,""p50"":12.41099495546154,""p75"":31.30081773915665,""p90"":55.209134071820586}",47.5,"{""p10"":-21.184378651075157,""p25"":-9.775426535259054,""p50"":1.9855351480031591,""p75"":27.15867986312952,""p90"":49.09139844102585}",52.5,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":36.93410639838858,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":25,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":88.60096485104427}",88.60096485104427,88.19311935889799
