coingecko_id,forecast_id,horizon,edge_vs_SOL,edge_vs_BTC,edge_vs_top50_median,P10,P25,P75,P75_P25_width,quality,states,persistence,last_3_snapshots,paired_probability,benchmark_count,run_mode,run_id,generated_at_utc,code_version,official_daily
bitcoin,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,7,5.316268804459867,0.0,5.384401185414966,-11.769137347374812,-1.1479779612775853,13.809104164156455,14.95708212543404,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":14.95708212543404,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""PERSISTENT_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":3,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":4.0224532870692,""edge_vs_top50_median"":3.8931839989491235,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-23:ca0e34bf7e3fb9223d0d820ce6f4520e61a6998c003e2de2a3df17a90989ab45""},{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":4.205926666935106,""edge_vs_top50_median"":3.9965348210122267,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-24:282028e0a9f147038bd37fc7f326b9612ca3fa29ddbb16afff2609e729f596e7""},{""benchmark_count"":47,""edge_vs_BTC"":0.0,""edge_vs_SOL"":5.316268804459867,""edge_vs_top50_median"":5.384401185414966,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
bitcoin,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,14,-2.4006360465718464,0.0,4.7775261797728845,-14.95392493869945,-4.088058644236178,20.21472467230785,24.302783316544026,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":24.302783316544026,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""NO_CLEAR_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":2,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":4.334829711409976,""edge_vs_top50_median"":4.163205832277117,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-23:ca0e34bf7e3fb9223d0d820ce6f4520e61a6998c003e2de2a3df17a90989ab45""},{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":3.3469967584150053,""edge_vs_top50_median"":3.723121609909441,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-24:282028e0a9f147038bd37fc7f326b9612ca3fa29ddbb16afff2609e729f596e7""},{""benchmark_count"":47,""edge_vs_BTC"":0.0,""edge_vs_SOL"":-2.4006360465718464,""edge_vs_top50_median"":4.7775261797728845,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
bitcoin,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,30,10.203069704653746,0.0,12.980410532569044,-19.788578359835576,-2.50047714842673,25.557410571018085,28.057887719444814,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":28.057887719444814,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""PERSISTENT_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":3,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":9.770897055044614,""edge_vs_top50_median"":13.970534521450507,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-23:ca0e34bf7e3fb9223d0d820ce6f4520e61a6998c003e2de2a3df17a90989ab45""},{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":8.215982358669983,""edge_vs_top50_median"":12.093494363464242,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-24:282028e0a9f147038bd37fc7f326b9612ca3fa29ddbb16afff2609e729f596e7""},{""benchmark_count"":47,""edge_vs_BTC"":0.0,""edge_vs_SOL"":10.203069704653746,""edge_vs_top50_median"":12.980410532569044,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
bitcoin,lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d,60,11.183890556605668,0.0,9.016542705590213,-11.009165784393426,-6.11604060483174,41.519731883037295,47.63577248786903,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":47.63577248786903,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":35,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":86.69751169213112}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""PERSISTENT_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":3,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":10.089137488941823,""edge_vs_top50_median"":8.794244651199168,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-23:ca0e34bf7e3fb9223d0d820ce6f4520e61a6998c003e2de2a3df17a90989ab45""},{""benchmark_count"":49,""edge_vs_BTC"":0.0,""edge_vs_SOL"":9.12184255259285,""edge_vs_top50_median"":7.959468244007262,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-24:282028e0a9f147038bd37fc7f326b9612ca3fa29ddbb16afff2609e729f596e7""},{""benchmark_count"":47,""edge_vs_BTC"":0.0,""edge_vs_SOL"":11.183890556605668,""edge_vs_top50_median"":9.016542705590213,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:bitcoin:2026-09-25:f48badbd203f6d70d820a77173de668f8b91fd0b371a7f6fbfe431b0a033183d""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
ethereum,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,7,4.0650063429596095,-1.2512624615002572,4.133138723914708,-8.997711913910384,-2.599412172557536,13.774752744533226,16.374164917090763,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":16.374164917090763,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""PERSISTENT_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":3,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":0.823457895920165,""edge_vs_SOL"":4.845911182989365,""edge_vs_top50_median"":4.716641894869289,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-23:010d26730d4f06f03ca634c3a7fcbf3d7746e57fe6271b6edd21d2c987c0e96a""},{""benchmark_count"":49,""edge_vs_BTC"":-0.36222260836119524,""edge_vs_SOL"":3.843704058573911,""edge_vs_top50_median"":3.6343122126510314,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-24:29f77394884026cd604b4ad80884cb1bff832ae257be5c8125fa89cef79d1fd7""},{""benchmark_count"":47,""edge_vs_BTC"":-1.2512624615002572,""edge_vs_SOL"":4.0650063429596095,""edge_vs_top50_median"":4.133138723914708,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
ethereum,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,14,-0.24749132224427495,2.1531447243275714,6.930670904100456,-11.227691635701511,-2.19363839644178,29.154445025233276,31.348083421675057,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":31.348083421675057,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""NO_CLEAR_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":2,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":1.3200307108093394,""edge_vs_SOL"":5.654860422219316,""edge_vs_top50_median"":5.4832365430864565,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-23:010d26730d4f06f03ca634c3a7fcbf3d7746e57fe6271b6edd21d2c987c0e96a""},{""benchmark_count"":49,""edge_vs_BTC"":2.6624775251609,""edge_vs_SOL"":6.009474283575905,""edge_vs_top50_median"":6.385599135070342,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-24:29f77394884026cd604b4ad80884cb1bff832ae257be5c8125fa89cef79d1fd7""},{""benchmark_count"":47,""edge_vs_BTC"":2.1531447243275714,""edge_vs_SOL"":-0.24749132224427495,""edge_vs_top50_median"":6.930670904100456,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
ethereum,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,30,8.87871965182957,-1.324350052824176,11.656060479744868,-15.473372564392982,-8.180843582298053,22.413763290642137,30.59460687294019,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":30.59460687294019,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""PERSISTENT_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":3,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":0.18470819040759068,""edge_vs_SOL"":9.955605245452205,""edge_vs_top50_median"":14.155242711858097,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-23:010d26730d4f06f03ca634c3a7fcbf3d7746e57fe6271b6edd21d2c987c0e96a""},{""benchmark_count"":49,""edge_vs_BTC"":2.2611783298309707,""edge_vs_SOL"":10.477160688500952,""edge_vs_top50_median"":14.354672693295212,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-24:29f77394884026cd604b4ad80884cb1bff832ae257be5c8125fa89cef79d1fd7""},{""benchmark_count"":47,""edge_vs_BTC"":-1.324350052824176,""edge_vs_SOL"":8.87871965182957,""edge_vs_top50_median"":11.656060479744868,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
ethereum,lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537,60,10.018149314603553,-1.1657412420021158,7.850801463588097,-19.003480584180018,-7.302138872607214,61.4147320803488,68.71687095295601,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":68.71687095295601,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":27,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":85.30468231853179}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""PERSISTENT_EDGE"",""top50_median"":""PERSISTENT_EDGE""}","{""BTC"":0,""SOL"":3,""top50_median"":3}","[{""benchmark_count"":49,""edge_vs_BTC"":2.0928821767724592,""edge_vs_SOL"":12.182019665714282,""edge_vs_top50_median"":10.887126827971628,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-23:010d26730d4f06f03ca634c3a7fcbf3d7746e57fe6271b6edd21d2c987c0e96a""},{""benchmark_count"":49,""edge_vs_BTC"":0.6342668316874036,""edge_vs_SOL"":9.756109384280254,""edge_vs_top50_median"":8.593735075694665,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-24:29f77394884026cd604b4ad80884cb1bff832ae257be5c8125fa89cef79d1fd7""},{""benchmark_count"":47,""edge_vs_BTC"":-1.1657412420021158,""edge_vs_SOL"":10.018149314603553,""edge_vs_top50_median"":7.850801463588097,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:ethereum:2026-09-25:d29637ca8ca09d7b6d881075d3b763ca0aa9eec9e57043724b234205fbc6f537""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
binancecoin,lab:OFFICIAL_DAILY:binancecoin:2026-09-25:234dca5b0f99899dc0a16cb90b151908e92c44e815febb9d60745a3bf95c50a3,7,-0.9225476495748397,-6.238816454034707,-0.8544152686197404,-14.107432368570919,-8.084923770705235,7.725273167605623,15.810196938310858,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":15.810196938310858,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":25,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":88.60096485104427}","{""BTC"":""PERSISTENT_RELATIVE_WEAKNESS"",""SOL"":""NO_CLEAR_EDGE"",""top50_median"":""NO_CLEAR_EDGE""}","{""BTC"":0,""SOL"":0,""top50_median"":0}","[{""benchmark_count"":49,""edge_vs_BTC"":-3.186786498080374,""edge_vs_SOL"":0.8356667889888258,""edge_vs_top50_median"":0.7063975008687495,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:binancecoin:2026-09-23:c38a1177bf75d7c70e99bc2c65034bc3cf0679283da8f7004661179bfc247f16""},{""benchmark_count"":49,""edge_vs_BTC"":-3.6070972419936287,""edge_vs_SOL"":0.5988294249414772,""edge_vs_top50_median"":0.38943757901859777,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:binancecoin:2026-09-24:c012030cbe7e6d7a370e13029ae277e39a1e66f97264f1e62cd5de5d90759bb3""},{""benchmark_count"":47,""edge_vs_BTC"":-6.238816454034707,""edge_vs_SOL"":-0.9225476495748397,""edge_vs_top50_median"":-0.8544152686197404,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:binancecoin:2026-09-25:234dca5b0f99899dc0a16cb90b151908e92c44e815febb9d60745a3bf95c50a3""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
binancecoin,lab:OFFICIAL_DAILY:binancecoin:2026-09-25:234dca5b0f99899dc0a16cb90b151908e92c44e815febb9d60745a3bf95c50a3,14,-5.490283918788451,-3.0896478722166054,1.6878783075562787,-21.184378651075157,-9.775426535259054,27.15867986312952,36.93410639838858,"{""MAE_vs_P50"":null,""N"":40,""P10_P90_coverage"":null,""P25_P75_coverage"":null,""cone_width"":36.93410639838858,""data_quality"":""LIMITED_CLOSE_ONLY_INPUT"",""distinct_analogue_assets"":25,""historical_controls"":0,""label"":""PROVISIONAL_LIMITED"",""similarity"":88.60096485104427}","{""BTC"":""NO_CLEAR_EDGE"",""SOL"":""NO_CLEAR_EDGE"",""top50_median"":""NO_CLEAR_EDGE""}","{""BTC"":2,""SOL"":2,""top50_median"":2}","[{""benchmark_count"":49,""edge_vs_BTC"":4.959296509645206,""edge_vs_SOL"":9.294126221055183,""edge_vs_top50_median"":9.122502341922324,""forecast_date"":""2026-09-23"",""forecast_id"":""lab:OFFICIAL_DAILY:binancecoin:2026-09-23:c38a1177bf75d7c70e99bc2c65034bc3cf0679283da8f7004661179bfc247f16""},{""benchmark_count"":49,""edge_vs_BTC"":5.947129462640177,""edge_vs_SOL"":9.294126221055183,""edge_vs_top50_median"":9.670251072549618,""forecast_date"":""2026-09-24"",""forecast_id"":""lab:OFFICIAL_DAILY:binancecoin:2026-09-24:c012030cbe7e6d7a370e13029ae277e39a1e66f97264f1e62cd5de5d90759bb3""},{""benchmark_count"":47,""edge_vs_BTC"":-3.0896478722166054,""edge_vs_SOL"":-5.490283918788451,""edge_vs_top50_median"":1.6878783075562787,""forecast_date"":""2026-09-25"",""forecast_id"":""lab:OFFICIAL_DAILY:binancecoin:2026-09-25:234dca5b0f99899dc0a16cb90b151908e92c44e815febb9d60745a3bf95c50a3""}]","{""N_PAIR"":0,""probability"":null,""reason"":""NO_COMPARABLE_PAIRED_OBSERVATIONS""}",47,OFFICIAL_DAILY,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,2026-09-25T13:31:53.742981Z,a6b2c40dafd78f282fde67b5deb5ea789ae1122b,True
