code_version,coingecko_id,data_quality,eligible_rank,exclusion_reason,generated_at,generated_at_utc,inclusion_status,market_cap,name,official_daily,ohlc_ticker,provider_rank,run_id,run_mode,snapshot_date,symbol,volume
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,bitcoin,LIMITED_CLOSE_ONLY_INPUT,1.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,1690168690116,Bitcoin,True,BTC-USD,1.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,btc,37782016273.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,ethereum,LIMITED_CLOSE_ONLY_INPUT,2.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,329756593023,Ethereum,True,ETH-USD,2.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,eth,15558207759.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,tether,,,STABLECOIN,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,EXCLUDED,183740753129,Tether,True,,3.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,usdt,71714318482.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,binancecoin,LIMITED_CLOSE_ONLY_INPUT,3.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,103180941351,BNB,True,BNB-USD,4.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,bnb,1159235646.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,ripple,LIMITED_CLOSE_ONLY_INPUT,4.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,100017428396,XRP,True,XRP-USD,5.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,xrp,6100687245.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,usd-coin,,,STABLECOIN,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,EXCLUDED,75347466484,USDC,True,,6.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,usdc,19805586466.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,solana,LIMITED_CLOSE_ONLY_INPUT,5.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,70416471653,Solana,True,SOL-USD,7.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,sol,5612395966.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,tron,LIMITED_CLOSE_ONLY_INPUT,6.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,32009349910,TRON,True,TRX-USD,8.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,trx,442923752.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,zcash,LIMITED_CLOSE_ONLY_INPUT,7.0,,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,INCLUDED,27195251665,Zcash,True,ZEC-USD,9.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,zec,1291789708.0
a6b2c40dafd78f282fde67b5deb5ea789ae1122b,figure-heloc,,,UNREVIEWED_IDENTITY,2026-09-25T13:31:55.648199+00:00,2026-09-25T13:31:53.742981Z,PENDING_CLASSIFICATION,23710686351,Figure Heloc,True,,10.0,market-lab:OFFICIAL_DAILY:b62324d376f3442bb54d88b256e33725,OFFICIAL_DAILY,2026-09-25,figr_heloc,585544063.0
