asset,horizon_days,module,checked_predictions,direction_accuracy,avg_return,avg_drawdown,avg_max_gain
BTC,1,Global confluence,0,,,,
BTC,1,Scanner,0,,,,
BTC,1,Market regime,0,,,,
BTC,1,Tecnico,0,,,,
BTC,3,Global confluence,0,,,,
BTC,3,Scanner,0,,,,
BTC,3,Market regime,0,,,,
BTC,3,Tecnico,0,,,,
BTC,7,Global confluence,0,,,,
BTC,7,Scanner,0,,,,
BTC,7,Market regime,0,,,,
BTC,7,Tecnico,0,,,,
BTC,14,Global confluence,0,,,,
BTC,14,Scanner,0,,,,
BTC,14,Market regime,0,,,,
BTC,14,Tecnico,0,,,,
BTC,30,Global confluence,0,,,,
BTC,30,Scanner,0,,,,
BTC,30,Market regime,0,,,,
BTC,30,Tecnico,0,,,,
BTC,60,Global confluence,0,,,,
BTC,60,Scanner,0,,,,
BTC,60,Market regime,0,,,,
BTC,60,Tecnico,0,,,,
SOL,1,Global confluence,0,,,,
SOL,1,Scanner,0,,,,
SOL,1,Market regime,0,,,,
SOL,1,Tecnico,0,,,,
SOL,1,Frattale SOL,0,,,,
SOL,3,Global confluence,0,,,,
SOL,3,Scanner,0,,,,
SOL,3,Market regime,0,,,,
SOL,3,Tecnico,0,,,,
SOL,3,Frattale SOL,0,,,,
SOL,7,Global confluence,0,,,,
SOL,7,Scanner,0,,,,
SOL,7,Market regime,0,,,,
SOL,7,Tecnico,0,,,,
SOL,7,Frattale SOL,0,,,,
SOL,14,Global confluence,0,,,,
SOL,14,Scanner,0,,,,
SOL,14,Market regime,0,,,,
SOL,14,Tecnico,0,,,,
SOL,14,Frattale SOL,0,,,,
SOL,30,Global confluence,0,,,,
SOL,30,Scanner,0,,,,
SOL,30,Market regime,0,,,,
SOL,30,Tecnico,0,,,,
SOL,30,Frattale SOL,0,,,,
SOL,60,Global confluence,0,,,,
SOL,60,Scanner,0,,,,
SOL,60,Market regime,0,,,,
SOL,60,Tecnico,0,,,,
SOL,60,Frattale SOL,0,,,,
DOGE,1,Global confluence,0,,,,
DOGE,1,Scanner,0,,,,
DOGE,1,Market regime,0,,,,
DOGE,1,Tecnico,0,,,,
DOGE,3,Global confluence,0,,,,
DOGE,3,Scanner,0,,,,
DOGE,3,Market regime,0,,,,
DOGE,3,Tecnico,0,,,,
DOGE,7,Global confluence,0,,,,
DOGE,7,Scanner,0,,,,
DOGE,7,Market regime,0,,,,
DOGE,7,Tecnico,0,,,,
DOGE,14,Global confluence,0,,,,
DOGE,14,Scanner,0,,,,
DOGE,14,Market regime,0,,,,
DOGE,14,Tecnico,0,,,,
DOGE,30,Global confluence,0,,,,
DOGE,30,Scanner,0,,,,
DOGE,30,Market regime,0,,,,
DOGE,30,Tecnico,0,,,,
DOGE,60,Global confluence,0,,,,
DOGE,60,Scanner,0,,,,
DOGE,60,Market regime,0,,,,
DOGE,60,Tecnico,0,,,,
