rank,portfolio,label,strategy,sample_status,sample_maturity,closed_trades,winning_trades,win_rate_pct,profit_factor,expectancy_eur,equity_eur,total_pnl_eur,total_return_pct,closed_pnl_eur,open_pnl_eur,open_positions,max_drawdown_pct,average_mfe_net_eur,average_mae_net_eur,average_profit_retained_pct,profit_retention_sample,comparison_score
1,SHADOW_1H_FAST,Rapida 1H,momentum_breakout,IN OSSERVAZIONE,2,15,7,46.666666666666664,1.1392401599096824,2.9652686801734545,10038.554481093734,38.55448109373356,0.3855448109373356,44.47903020260182,-0.6865463151506858,4,1.8189762301342436,54.81298782480454,-48.21330624532298,-445.86950472602194,3,-1.5328610655716304
2,SHADOW_SCANNER_TOP5_LONG,Scanner Top 5 Long 1H,scanner_top5_long,PRELIMINARE,1,1,1,100.0,3.0,30.639904902828384,10043.566347933434,43.56634793343437,0.4356634793343437,30.639904902828384,16.984816608351174,3,0.2509894627123776,75.67434277797598,-25.73249276727545,40.489158911791336,1,3.0841717257319994
3,SHADOW_SCANNER_TOP5_BTC,Scanner Top 5 + forza BTC 1H,scanner_top5_btc_strength,PRELIMINARE,1,1,1,100.0,3.0,30.639904902828384,10043.566347933434,43.56634793343437,0.4356634793343437,30.639904902828384,16.984816608351174,3,0.2509894627123776,75.67434277797598,-25.73249276727545,40.489158911791336,1,3.0841717257319994
4,SHADOW_RELATIVE_STRENGTH,Forza relativa 1H,relative_strength,PRELIMINARE,1,7,4,57.14285714285714,1.5583105778096937,12.628386864422813,10087.264419077246,87.2644190772462,0.8726441907724621,88.3987080509597,0.0,4,1.3612356247753958,35.771467336330105,-84.54371855632938,0.4869148162536878,1,2.5108049731458104
5,SHADOW_4H_WIDE,Ampia 4H,confluence_trend,PRELIMINARE,1,3,1,33.33333333333333,2.6602879259863768,29.024908646517805,10055.01553594574,55.01553594574034,0.5501553594574035,87.07472593955342,-29.768456641012097,4,1.5071990602087117,78.80983197160417,-69.66769875430869,-1.268300057944161,1,2.453817386240618
6,SHADOW_1H_BALANCED,Bilanciata 1H,confluence_trend,PRELIMINARE,1,8,4,50.0,1.4663053605741594,9.305630918391458,10073.312938359419,73.3129383594187,0.733129383594187,74.44504734713166,0.0,4,1.0561685736984596,35.79106320308936,-103.63564854006754,6.706547790151634,1,2.0963470576650725
7,SHADOW_SCANNER_BOTTOM5_SHORT,Scanner Bottom 5 Short 1H,scanner_bottom5_short,PRELIMINARE,1,1,0,0.0,0.0,-50.62338933333337,9948.65505785394,-51.34494214605911,-0.5134494214605911,-50.62338933333337,-0.08292480752256357,2,0.5140343009082607,4.325215699161601,-60.13714143373299,-1170.424618202191,1,-2.706634761352681
8,SHADOW_EMA_TREND_1H,Benchmark trend following EMA 1H,ema_trend_following,PRELIMINARE,1,1,0,0.0,0.0,-50.62338933333337,9933.97602774132,-66.02397225867935,-0.6602397225867935,-50.62338933333337,-12.136399108335466,3,0.6798524942211225,4.325215699161601,-60.13714143373299,-1170.424618202191,1,-2.859246422680181
9,MAIN,Principale 4H,confluence_trend,PRELIMINARE,1,6,2,33.33333333333333,0.9642628319075088,-1.22867260049469,9924.84890322816,-75.15109677184046,-0.7515109677184045,-7.37203560296814,-64.73225332966646,4,2.8578618775252465,26.134325236952662,-91.03599860274701,-535.4338510905345,2,-4.624956013428304
10,SHADOW_DONCHIAN_1H,Benchmark Donchian breakout 1H,donchian_breakout,IN ATTESA,0,0,0,0.0,0.0,0.0,10045.503647835225,45.50364783522491,0.45503647835224914,0.0,48.17404432479418,2,0.1741091799214694,0.0,0.0,0.0,0,-1000000.0
