generated_utc,category,rank,strategy_id,family_id,portfolio,lifecycle_status,evolution_score,grade,closed_trades,matched_pairs,profit_factor,expectancy_r,max_drawdown_r
2026-09-17T17:41:08+00:00,ALL_TIME,1,portfolio-10b34d60ef4a5a8f1cbd,shadow-combo-trend-side-regime-guard-v1,SHADOW_COMBO_TREND_SIDE_REGIME_GUARD_V1,BASELINE,23.06,E,162,0,1.4304554837343721,0.21812149946516482,23.361694272331608
2026-09-17T17:41:08+00:00,ALL_TIME,2,portfolio-41e9f610d5c09a8b4cb4,shadow-1h-fast-v3-no-esports-stress-guard-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_STRESS_GUARD_V1,BASELINE,21.01,E,185,0,1.150810794978471,0.0719029109372697,10.657186007679417
2026-09-17T17:41:08+00:00,ALL_TIME,3,portfolio-5bb7ddf8fd6d2b6d7a2b,shadow-1h-fast-v3-nohigh-regime-guard-v1,SHADOW_1H_FAST_V3_NOHIGH_REGIME_GUARD_V1,BASELINE,20.69,E,184,0,1.2465357254037603,0.11535257347258106,14.915235827607887
2026-09-17T17:41:08+00:00,ALL_TIME,4,portfolio-8a181ed9bb10700026fc,shadow-donchian-1h,SHADOW_DONCHIAN_1H,BASELINE,20.67,E,171,0,1.254118893403398,0.15274622904665588,20.486277839386478
2026-09-17T17:41:08+00:00,ALL_TIME,5,portfolio-ec4f81fe1de280de7ed3,shadow-1h-fast-score-6-75-cost-aware-v1,SHADOW_1H_FAST_SCORE_6_75_COST_AWARE_V1,BASELINE,20.35,E,215,0,1.209475071100179,0.10343653546020225,25.454792689629397
2026-09-17T17:41:08+00:00,ALL_TIME,6,portfolio-9da609258ab55b372664,shadow-combo-adaptive,SHADOW_COMBO_ADAPTIVE,BASELINE,19.84,E,230,0,1.1981337950843212,0.09778486186156066,23.819138513655105
2026-09-17T17:41:08+00:00,ALL_TIME,7,portfolio-3eae154b0af2a376c1fe,shadow-donchian-1h-gb20-120r-v1,SHADOW_DONCHIAN_1H_GB20_120R_V1,BASELINE,19.55,E,139,0,1.2622452334061198,0.1581287151439873,20.48627783938648
2026-09-17T17:41:08+00:00,ALL_TIME,8,portfolio-2be30fda23278e335fda,shadow-1h-fast-v3-no-esports-mfe-lock-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_MFE_LOCK_V1,BASELINE,18.75,E,239,0,1.074799089448432,0.03882693616428601,30.080388332565775
2026-09-17T17:41:08+00:00,ALL_TIME,9,portfolio-819df6e454a22a88bd0a,shadow-1h-fast-v3-nohigh-v1,SHADOW_1H_FAST_V3_NOHIGH_V1,BASELINE,18.21,E,210,0,1.06345410092378,0.032204605611678955,14.775661993048484
2026-09-17T17:41:08+00:00,ALL_TIME,10,portfolio-64f18e5c18eb6ebf4e08,shadow-1h-fast-v3,SHADOW_1H_FAST_V3,BASELINE,18.15,E,283,0,1.0668120742259075,0.03467095711021713,29.537239115797938
2026-09-17T17:41:08+00:00,ALL_TIME,11,portfolio-74340d3089b701fbbc4a,shadow-combo-adaptive-side-regime-guard-v1,SHADOW_COMBO_ADAPTIVE_SIDE_REGIME_GUARD_V1,BASELINE,18.03,E,181,0,1.062592628706332,0.03517238703858385,25.624218213154425
2026-09-17T17:41:08+00:00,ALL_TIME,12,portfolio-21f7d4824afe44c077b0,shadow-1h-fast-v2,SHADOW_1H_FAST_V2,BASELINE,17.74,E,92,0,1.25900572721639,0.12308567076143212,6.857615527673215
2026-09-17T17:41:08+00:00,ALL_TIME,13,portfolio-76de9ff1f49a7b570409,shadow-combo-adaptive-partial-1r-v1,SHADOW_COMBO_ADAPTIVE_PARTIAL_1R_V1,BASELINE,17.7,E,189,0,1.023009971584429,0.013252702962417004,23.596673877985715
