asset,timeframe,signal_type,horizon_days,controls,accuracy_pct,corrected_return_mean_pct,raw_return_mean_pct,status,operational_weight
BTC,1D,BULLISH_RSI_DIVERGENCE,30,1,0.0,-1.517910583523574,-1.517910583523574,RACCOLTA DATI,0
BTC,1D,BULLISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
BTC,1D,BULLISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
BTC,1D,BULLISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,30,1,0.0,-1.3722229987597423,1.3722229987597423,RACCOLTA DATI,0
BTC,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BULLISH_RSI_DIVERGENCE,30,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BULLISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BULLISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
BTC,1D,HIDDEN_BULLISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
BTC,1W,BULLISH_RSI_DIVERGENCE,30,1,100.0,1.026031142812478,1.026031142812478,RACCOLTA DATI,0
BTC,1W,BULLISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
BTC,1W,BULLISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
BTC,1W,BULLISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
DOGE,1D,BULLISH_RSI_DIVERGENCE,30,0,,,,RACCOLTA DATI,0
DOGE,1D,BULLISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
DOGE,1D,BULLISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
DOGE,1D,BULLISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
DOGE,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,30,2,50.0,-8.17962954842622,8.17962954842622,RACCOLTA DATI,0
DOGE,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
DOGE,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
DOGE,1D,HIDDEN_BEARISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
DOGE,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,30,0,,,,RACCOLTA DATI,0
DOGE,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
DOGE,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
DOGE,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
SOL,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,30,1,100.0,1.1058176104241646,-1.1058176104241646,RACCOLTA DATI,0
SOL,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,60,0,,,,RACCOLTA DATI,0
SOL,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,90,0,,,,RACCOLTA DATI,0
SOL,1W,HIDDEN_BEARISH_RSI_DIVERGENCE,180,0,,,,RACCOLTA DATI,0
