snapshot_date,generated_at_utc,target_ticker,asset,current_price,horizon_day,target_date,p10_pct,p25_pct,p50_pct,p75_pct,p90_pct,mean_pct,p10_price,p25_price,p50_price,p75_price,p90_price,mean_price,cases_used
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,0,2026-07-10,0.0,0.0,0.0,0.0,0.0,0.0,63002.46875,63002.46875,63002.46875,63002.46875,63002.46875,63002.46875,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,1,2026-07-11,-2.213641721733033,-0.15883820646236946,2.510734243144075,6.9035249111134736,9.005346101267344,3.476522794795057,61607.81981602819,62902.39675861049,64584.29330693239,67351.85987477274,68676.05911328031,65192.763937377385,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,2,2026-07-12,-4.138879147150264,-1.5360781307988987,1.8689666932988902,7.441634198546238,9.36709822191377,2.7358235965373288,60394.872708716386,62034.70160566784,64179.96390689355,67690.88201042841,68903.97188004303,64726.105156463556,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,3,2026-07-13,-1.8814866405917747,-0.25716040537391294,3.624901965740124,10.711365862690464,13.712919770844826,5.525647445348489,61817.08571722574,62840.451345966925,65286.24647818356,69750.89368033972,71641.94674333908,66483.76305499085,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,4,2026-07-14,-3.653710408651759,-0.41420373972460567,2.595030085954808,7.771253369067599,10.21582896538429,4.284789324811971,60700.54099157368,62741.51016831867,64637.40176895678,67898.55022533014,69438.69320146968,65701.991805368,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,5,2026-07-15,-3.375650838529747,-1.6290891335443647,2.339274315330231,6.449557682515206,13.126442736423263,3.4311221065893998,60875.72538534619,61976.10237772907,64476.269319492705,67065.84931343986,71272.45173300171,65164.16038297833,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,6,2026-07-16,-1.8214530878597819,0.03689340480956538,3.021451111192941,9.035307153590601,15.46016659247635,5.338466961366588,61854.90833752523,63025.71250583596,64906.05754212586,68694.93531590744,72742.75537612285,66365.83472906407,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,7,2026-07-17,-2.226839413049436,1.7838860884815566,5.042923422251078,9.116583987388488,18.96931211950215,7.009301263445378,61599.50494468085,64126.36102543119,66179.63500319017,68746.14172772193,74953.6036901793,67418.50158809553,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,8,2026-07-18,-2.004419436601246,2.2172184697846378,6.867456088024615,11.564938602237874,26.132633275911825,8.404097503125394,61739.63502083637,64399.3711235453,67329.13562577768,70288.66557883161,79466.67286320844,68297.2576531261,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,9,2026-07-19,0.8121708347739668,4.686639265872433,9.39160258931009,15.253394296231344,26.42813676938797,9.258329616555711,63514.15642637508,65955.1671889065,68919.41023645428,72612.48372479744,79652.84735934091,68835.4449734425,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,10,2026-07-20,-3.182998348949842,3.9940922607685945,8.409136726238941,18.233320745062347,24.91795735901449,9.168860306233842,60997.101209889865,65518.8454784369,68300.43248809346,74489.91095449516,78701.39704825143,68779.07709916614,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,11,2026-07-21,-4.004925104793503,2.6441998088279184,8.72458352475881,19.19759715565537,27.194511322800565,10.048877038626516,60479.26706239157,64668.37990824437,68499.17175875382,75097.42889874266,80135.68224786264,69333.5093659866,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,12,2026-07-22,-2.129695720300627,1.057919257223322,7.931553396003155,17.066470893253282,24.562109876860177,8.208840356744371,61660.70786934751,63668.983999432356,67999.54319970644,73754.76674124974,78477.2043495095,68174.24083049526,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,13,2026-07-23,-5.048683834053754,-0.012207455494980812,6.277516157656715,19.688205105890646,26.01056767561036,8.545831955721372,59821.67329516398,62994.7777516666,66957.45890550387,75406.52401927466,79389.76852152402,68386.55385733086,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,14,2026-07-24,-4.468389110777078,0.5036046475928591,6.389706534642714,22.069341488080486,33.42920598608225,10.384259058213951,60187.27329685426,63319.75211072323,67028.14161270499,76906.69872435869,84063.6938047546,69544.80831807028,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,15,2026-07-25,-4.986351635673832,0.7138651951039854,6.86852298160654,18.65857781763619,27.62711364765604,8.400789487158445,59860.94411896948,63452.22144646252,67329.80779507323,74757.83340875068,80408.23239239148,68295.1735214003,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,16,2026-07-26,-3.946442044168191,0.6043673014442558,7.1931695985168576,21.84508426727676,30.702728548454946,9.949660445746527,60516.11283438608,63383.23507022764,67534.34317844009,76765.4111389022,82345.94570913765,69271.00046306256,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,17,2026-07-27,-6.525193464587339,-1.4818496675366637,5.302487072074669,24.014039926467873,32.78792675677984,9.540413116989393,58891.435776596314,62068.86687628824,66343.16651055664,78131.90675028545,83659.67205871311,69013.16454265214,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,18,2026-07-28,-6.4574096653643,-2.152748973926846,5.73189440828934,19.32711364211295,29.869752443423998,7.7454949971694065,58934.14124351938,61646.1837504358,66613.70373336549,75179.0274826492,81821.15019887057,67882.32181512447,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,19,2026-07-29,-7.114824126603331,-2.3754126374850912,5.00584705660061,20.23773041204594,29.84286406784807,7.289639920631897,58519.953903019275,61505.900145384905,66156.2759775076,75752.73852855849,81804.20985845095,67595.12186298364,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,20,2026-07-30,-7.941384720399334,-3.818766348666178,5.667712142386028,19.558007956521074,30.270835057152166,7.4762459003884345,57999.20032321313,60596.55167454607,66573.26732134672,75324.4966009297,82073.84214724634,67712.68823706539,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,21,2026-07-31,-8.372376006735394,-4.069363025043354,3.5981028313622154,18.548020814084296,31.38236445428588,7.80913382877551,57727.66517272404,60438.66958182301,65269.36236192184,74688.17976713694,82774.13310832257,67922.41585011997,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,22,2026-08-01,-7.566318467997119,-4.006029583132184,3.2432284966132374,19.870446869561036,34.575292273420416,9.144341713360154,58235.50132167464,60478.571213771385,65045.782770069854,75521.34082948054,84785.75645978286,68763.62978035295,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,23,2026-08-02,-10.696966341216829,-4.635566153151469,4.828225524741702,23.717655117286625,48.91474291309321,11.75906958059883,56263.11587367685,60081.94763297517,66044.3700274049,77945.17700350129,93819.96436796439,70410.97288780753,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,24,2026-08-03,-10.602354230921435,-4.302128998268359,2.4538667325543884,19.41899922880552,42.39873689107282,9.989018620818953,56322.723838899416,60292.02127228129,64548.465371344224,75236.91767069093,89714.71971019288,69295.79708501314,40.0
2026-07-10,2026-07-10 01:12:24,BTC-USD,BTC,63002.46875,25,2026-08-04,-14.495188523677047,-5.742934788174283,1.208491815954027,16.563863318817223,28.90593128410876,6.504063332014961,53870.14213011678,59384.27805474762,63763.848428692734,73438.11156123054,81213.9190741671,67100.18921823293,40.0
