forecast_date,created_at_utc,asset,ticker,day_index,target_date,start_price,direction,positive_rate,negative_rate,checked,actual_price,inside_p10_p90,inside_p25_p75,error_vs_p50_pct,p10,p25,p50,p75,p90
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,0,2026-07-08,62080.25,SALITA,65.0,35.0,1.0,62044.859375,0.0,0.0,-0.057007864820135534,62080.25,62080.25,62080.25,62080.25,62080.25
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,1,2026-07-09,62080.25,SALITA,65.0,35.0,0.0,,,,,61815.21166666667,62027.168,62150.33233333333,62484.51233333333,62985.585666666666
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,2,2026-07-10,62080.25,SALITA,65.0,35.0,0.0,,,,,61550.17333333333,61974.086,62220.414666666664,62888.774666666664,63890.92133333333
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,3,2026-07-11,62080.25,SALITA,65.0,35.0,0.0,,,,,61285.135,61921.004,62290.497,63293.037,64796.257
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,4,2026-07-12,62080.25,SALITA,65.0,35.0,0.0,,,,,61020.096666666665,61867.922,62360.579333333335,63697.299333333336,65701.59266666666
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,5,2026-07-13,62080.25,SALITA,65.0,35.0,0.0,,,,,60755.058333333334,61814.84,62430.66166666667,64101.56166666667,66606.92833333333
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,6,2026-07-14,62080.25,SALITA,65.0,35.0,0.0,,,,,60490.02,61761.758,62500.744,64505.824,67512.264
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,7,2026-07-15,62080.25,SALITA,65.0,35.0,0.0,,,,,60224.98166666667,61708.676,62570.82633333333,64910.08633333333,68417.59966666668
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,8,2026-07-16,62080.25,SALITA,65.0,35.0,0.0,,,,,59959.943333333336,61655.594,62640.90866666667,65314.348666666665,69322.93533333333
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,9,2026-07-17,62080.25,SALITA,65.0,35.0,0.0,,,,,59694.905,61602.512,62710.991,65718.611,70228.27100000001
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,10,2026-07-18,62080.25,SALITA,65.0,35.0,0.0,,,,,59429.86666666667,61549.43,62781.073333333334,66122.87333333334,71133.60666666667
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,11,2026-07-19,62080.25,SALITA,65.0,35.0,0.0,,,,,59164.82833333333,61496.348,62851.155666666666,66527.13566666667,72038.94233333334
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,12,2026-07-20,62080.25,SALITA,65.0,35.0,0.0,,,,,58899.79,61443.266,62921.238,66931.398,72944.278
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,13,2026-07-21,62080.25,SALITA,65.0,35.0,0.0,,,,,58634.75166666666,61390.184,62991.32033333334,67335.66033333333,73849.61366666667
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,14,2026-07-22,62080.25,SALITA,65.0,35.0,0.0,,,,,58369.71333333333,61337.102,63061.40266666667,67739.92266666667,74754.94933333334
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,15,2026-07-23,62080.25,SALITA,65.0,35.0,0.0,,,,,58104.675,61284.020000000004,63131.485,68144.185,75660.285
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,16,2026-07-24,62080.25,SALITA,65.0,35.0,0.0,,,,,57839.636666666665,61230.938,63201.56733333333,68548.44733333333,76565.62066666667
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,17,2026-07-25,62080.25,SALITA,65.0,35.0,0.0,,,,,57574.598333333335,61177.856,63271.649666666664,68952.70966666666,77470.95633333334
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,18,2026-07-26,62080.25,SALITA,65.0,35.0,0.0,,,,,57309.56,61124.774,63341.732,69356.972,78376.292
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,19,2026-07-27,62080.25,SALITA,65.0,35.0,0.0,,,,,57044.52166666667,61071.692,63411.814333333336,69761.23433333333,79281.62766666667
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,20,2026-07-28,62080.25,SALITA,65.0,35.0,0.0,,,,,56779.48333333333,61018.61,63481.89666666667,70165.49666666666,80186.96333333333
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,21,2026-07-29,62080.25,SALITA,65.0,35.0,0.0,,,,,56514.445,60965.528,63551.979,70569.75899999999,81092.299
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,22,2026-07-30,62080.25,SALITA,65.0,35.0,0.0,,,,,56249.40666666666,60912.446,63622.06133333333,70974.02133333332,81997.63466666666
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,23,2026-07-31,62080.25,SALITA,65.0,35.0,0.0,,,,,55984.36833333333,60859.364,63692.14366666667,71378.28366666667,82902.97033333335
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,24,2026-08-01,62080.25,SALITA,65.0,35.0,0.0,,,,,55719.33,60806.282,63762.226,71782.546,83808.30600000001
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,25,2026-08-02,62080.25,SALITA,65.0,35.0,0.0,,,,,55454.291666666664,60753.2,63832.308333333334,72186.80833333333,84713.64166666668
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,26,2026-08-03,62080.25,SALITA,65.0,35.0,0.0,,,,,55189.253333333334,60700.118,63902.390666666666,72591.07066666667,85618.97733333334
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,27,2026-08-04,62080.25,SALITA,65.0,35.0,0.0,,,,,54924.215,60647.036,63972.473,72995.333,86524.31300000001
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,28,2026-08-05,62080.25,SALITA,65.0,35.0,0.0,,,,,54659.176666666666,60593.954,64042.55533333334,73399.59533333333,87429.64866666668
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,29,2026-08-06,62080.25,SALITA,65.0,35.0,0.0,,,,,54394.13833333333,60540.872,64112.63766666667,73803.85766666666,88334.98433333334
2026-07-08,2026-07-08 17:09:37 UTC,BTC,BTC-USD,30,2026-08-07,62080.25,SALITA,65.0,35.0,0.0,,,,,54129.1,60487.79,64182.72,74208.12,89240.32
2026-07-08,2026-07-08 17:09:37 UTC,SOL,SOL-USD,0,2026-07-08,77.2,INCERTO,45.0,55.0,1.0,77.1500015258789,0.0,0.0,-0.06476486285116323,77.2,77.2,77.2,77.2,77.2
2026-07-08,2026-07-08 17:09:37 UTC,SOL,SOL-USD,1,2026-07-09,77.2,INCERTO,45.0,55.0,0.0,,,,,76.708,76.962,77.14733333333334,77.40233333333333,78.32566666666666
