active_out_of_sample_controls,asset,horizon,horizon_day,mae_improvement_pct,raw_mae_pct,raw_p10_p90_coverage_pct,raw_p25_p75_coverage_pct,shadow_mae_pct,shadow_p10_p90_coverage_pct,shadow_p25_p75_coverage_pct,shadow_win_rate_pct,target_ticker
0,BTC,1g,1,,,,,,,,,BTC-USD
0,BTC,3g,3,,,,,,,,,BTC-USD
0,BTC,7g,7,,,,,,,,,BTC-USD
0,BTC,14g,14,,,,,,,,,BTC-USD
0,BTC,30g,30,,,,,,,,,BTC-USD
0,DOGE,1g,1,,,,,,,,,DOGE-USD
0,DOGE,3g,3,,,,,,,,,DOGE-USD
0,DOGE,7g,7,,,,,,,,,DOGE-USD
0,DOGE,14g,14,,,,,,,,,DOGE-USD
0,DOGE,30g,30,,,,,,,,,DOGE-USD
0,SOL,1g,1,,,,,,,,,SOL-USD
0,SOL,3g,3,,,,,,,,,SOL-USD
0,SOL,7g,7,,,,,,,,,SOL-USD
0,SOL,14g,14,,,,,,,,,SOL-USD
0,SOL,30g,30,,,,,,,,,SOL-USD
