asset,avg_abs_error_vs_p50_pct,avg_error_vs_p50_pct,controls,horizon,horizon_day,inside_p10_p90_pct,inside_p25_p75_pct,target_ticker
BTC,2.130520172702946,0.6646806596164954,56,1g,1,92.85714285714286,64.28571428571429,BTC-USD
BTC,3.3629388658443458,1.141014014288065,52,3g,3,90.38461538461539,69.23076923076923,BTC-USD
BTC,5.430833047448492,2.5086044310664923,44,7g,7,90.9090909090909,72.72727272727273,BTC-USD
BTC,6.557966297063747,3.960314924579597,37,14g,14,97.2972972972973,64.86486486486487,BTC-USD
BTC,8.901382184135008,3.157920841655065,23,30g,30,100.0,91.30434782608695,BTC-USD
SOL,2.9296601244319747,1.1804693254310443,56,1g,1,78.57142857142857,57.14285714285714,SOL-USD
SOL,4.174567237502402,2.0388744613213294,52,3g,3,88.46153846153845,71.15384615384616,SOL-USD
SOL,5.922387564744003,4.223689169161766,44,7g,7,86.36363636363636,68.18181818181817,SOL-USD
SOL,8.611262980824204,7.610986572509887,37,14g,14,81.08108108108108,64.86486486486487,SOL-USD
SOL,15.477853090209628,14.916029421493455,23,30g,30,91.30434782608695,47.82608695652174,SOL-USD
DOGE,3.3877032861025973,0.9046433548434747,56,1g,1,85.71428571428571,57.14285714285714,DOGE-USD
DOGE,4.800882398571117,2.255773672263142,52,3g,3,88.46153846153845,67.3076923076923,DOGE-USD
DOGE,9.350378796115026,6.710797186584014,44,7g,7,72.72727272727273,70.45454545454545,DOGE-USD
DOGE,11.116006974222383,10.022820010028951,37,14g,14,81.08108108108108,51.35135135135135,DOGE-USD
DOGE,17.340153338449262,17.340153338449262,23,30g,30,91.30434782608695,34.78260869565217,DOGE-USD
